id,city,date,team1,team2,toss_winner,toss_decision,winner,player_of_match,venue
39,Delhi,5/15/2008,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,A Mishra,Feroz Shah Kotla
40,Mumbai,5/16/2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SM Pollock,Wankhede Stadium
41,Delhi,5/17/2008,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,DPMD Jayawardene,Feroz Shah Kotla
42,Jaipur,5/17/2008,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,GC Smith,Sawai Mansingh Stadium
43,Hyderabad,5/18/2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal"
44,Kolkata,5/18/2008,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,M Ntini,Eden Gardens
45,Bangalore,5/19/2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,SP Goswami,M Chinnaswamy Stadium
46,Kolkata,5/20/2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Eden Gardens
47,Mumbai,5/21/2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,SE Marsh,Wankhede Stadium
48,Chennai,5/21/2008,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,A Kumble,"MA Chidambaram Stadium, Chepauk"
49,Chandigarh,5/23/2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
50,Delhi,5/24/2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,KD Karthik,Feroz Shah Kotla
51,Chennai,5/24/2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,JA Morkel,"MA Chidambaram Stadium, Chepauk"
52,Bangalore,05-03-2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,P Kumar,M Chinnaswamy Stadium
53,Kolkata,5/25/2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,Umar Gul,Eden Gardens
54,Jaipur,5/26/2008,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sohail Tanvir,Sawai Mansingh Stadium
55,Hyderabad,5/27/2008,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,SK Raina,"Rajiv Gandhi International Stadium, Uppal"
56,Mumbai,5/30/2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,SR Watson,Wankhede Stadium
57,Mumbai,5/31/2008,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,M Ntini,Wankhede Stadium
58,Mumbai,06-01-2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Dr DY Patil Sports Academy
59,Cape Town,4/18/2009,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,SR Tendulkar,Newlands
60,Cape Town,4/18/2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,R Dravid,Newlands
61,Cape Town,4/19/2009,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,DL Vettori,Newlands
62,Cape Town,4/19/2009,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers,RP Singh,Newlands
63,Port Elizabeth,4/20/2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,M Muralitharan,St George's Park
64,Durban,4/21/2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,CH Gayle,Kingsmead
65,Cape Town,4/22/2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,AC Gilchrist,Newlands
66,Durban,4/23/2009,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils,AB de Villiers,Kingsmead
67,Cape Town,4/23/2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,YK Pathan,Newlands
68,Durban,4/24/2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,RS Bopara,Kingsmead
69,Durban,4/25/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,PP Ojha,Kingsmead
70,Port Elizabeth,4/26/2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,TM Dilshan,St George's Park
71,Cape Town,4/26/2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,KC Sangakkara,Newlands
72,Durban,4/27/2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,HH Gibbs,Kingsmead
73,Port Elizabeth,4/27/2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,SR Tendulkar,St George's Park
74,Centurion,4/28/2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,YK Pathan,SuperSport Park
75,Durban,4/29/2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,MV Boucher,Kingsmead
76,Durban,4/29/2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,KC Sangakkara,Kingsmead
77,Centurion,4/30/2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,DP Nannes,SuperSport Park
78,Centurion,4/30/2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,SK Raina,SuperSport Park
79,East London,05-01-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,JP Duminy,Buffalo Park
80,Durban,05-01-2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Yuvraj Singh,Kingsmead
81,Port Elizabeth,05-02-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,YK Pathan,St George's Park
82,Johannesburg,05-02-2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,SB Jakati,New Wanderers Stadium
83,Port Elizabeth,05-03-2009,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,DPMD Jayawardene,St George's Park
84,Johannesburg,05-03-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,JH Kallis,New Wanderers Stadium
85,East London,05-04-2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,Buffalo Park
86,Durban,05-05-2009,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,GC Smith,Kingsmead
87,Durban,05-05-2009,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,G Gambhir,Kingsmead
88,Centurion,05-06-2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,RG Sharma,SuperSport Park
89,Centurion,05-07-2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,A Singh,SuperSport Park
90,Centurion,05-07-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,ML Hayden,SuperSport Park
91,East London,05-08-2009,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,A Nehra,Buffalo Park
92,Kimberley,05-09-2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,DPMD Jayawardene,De Beers Diamond Oval
93,Kimberley,05-09-2009,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,S Badrinath,De Beers Diamond Oval
94,Port Elizabeth,05-10-2009,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,JP Duminy,St George's Park
95,Johannesburg,05-10-2009,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,A Mishra,New Wanderers Stadium
96,Kimberley,05-11-2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,DR Smith,De Beers Diamond Oval
97,Centurion,05-12-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,LRPL Taylor,SuperSport Park
98,Centurion,05-12-2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,Harbhajan Singh,SuperSport Park
99,Durban,5/13/2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils,R Bhatia,Kingsmead
100,Durban,5/14/2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,LRPL Taylor,Kingsmead
101,Durban,5/14/2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,SK Warne,Kingsmead
102,Bloemfontein,5/15/2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,B Lee,OUTsurance Oval
103,Port Elizabeth,5/16/2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,ML Hayden,St George's Park
104,Johannesburg,5/16/2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,RG Sharma,New Wanderers Stadium
105,Johannesburg,5/17/2009,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,Yuvraj Singh,New Wanderers Stadium
106,Bloemfontein,5/17/2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,AB de Villiers,OUTsurance Oval
107,Centurion,5/18/2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,BJ Hodge,SuperSport Park
108,Johannesburg,5/19/2009,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,JH Kallis,New Wanderers Stadium
109,Durban,5/20/2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,LR Shukla,Kingsmead
110,Durban,5/20/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,M Muralitharan,Kingsmead
111,Centurion,5/21/2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,V Sehwag,SuperSport Park
112,Centurion,5/21/2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,MK Pandey,SuperSport Park
113,Centurion,5/22/2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,SuperSport Park
114,Johannesburg,5/23/2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,MK Pandey,New Wanderers Stadium
115,Johannesburg,5/24/2009,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,A Kumble,New Wanderers Stadium
116,Mumbai,03-12-2010,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,AD Mathews,Dr DY Patil Sports Academy
117,Mumbai,3/13/2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,YK Pathan,Brabourne Stadium
118,Chandigarh,3/13/2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,G Gambhir,"Punjab Cricket Association Stadium, Mohali"
119,Kolkata,3/14/2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,MK Tiwary,Eden Gardens
120,Chennai,3/14/2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk"
121,Ahmedabad,3/15/2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,V Sehwag,"Sardar Patel Stadium, Motera"
122,Bangalore,3/16/2010,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,JH Kallis,M Chinnaswamy Stadium
123,Kolkata,3/16/2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,Eden Gardens
124,Delhi,3/17/2010,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,SR Tendulkar,Feroz Shah Kotla
125,Bangalore,3/18/2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,JH Kallis,M Chinnaswamy Stadium
126,Delhi,3/19/2010,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,ML Hayden,Feroz Shah Kotla
127,Cuttack,3/19/2010,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,A Symonds,Barabati Stadium
128,Ahmedabad,3/20/2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,AA Jhunjhunwala,"Sardar Patel Stadium, Motera"
129,Mumbai,3/20/2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,JH Kallis,Brabourne Stadium
130,Cuttack,3/21/2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,A Symonds,Barabati Stadium
131,Chennai,3/21/2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,J Theron,"MA Chidambaram Stadium, Chepauk"
132,Mumbai,3/22/2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,SR Tendulkar,Brabourne Stadium
133,Bangalore,3/23/2010,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,RV Uthappa,M Chinnaswamy Stadium
134,Chandigarh,3/24/2010,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,AC Voges,"Punjab Cricket Association Stadium, Mohali"
135,Mumbai,3/25/2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SR Tendulkar,Brabourne Stadium
136,Ahmedabad,3/26/2010,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,YK Pathan,"Sardar Patel Stadium, Motera"
137,Chandigarh,3/27/2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,MK Tiwary,"Punjab Cricket Association Stadium, Mohali"
138,Bangalore,3/25/2010,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,KM Jadhav,M Chinnaswamy Stadium
139,Ahmedabad,3/28/2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,NV Ojha,"Sardar Patel Stadium, Motera"
140,Mumbai,3/28/2010,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,Harbhajan Singh,Dr DY Patil Sports Academy
141,Delhi,3/29/2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,DA Warner,Feroz Shah Kotla
142,Mumbai,3/30/2010,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SL Malinga,Brabourne Stadium
143,Chennai,3/31/2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk"
144,Delhi,3/31/2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,KD Karthik,Feroz Shah Kotla
145,Kolkata,04-01-2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Eden Gardens
146,Chandigarh,04-02-2010,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,KP Pietersen,"Punjab Cricket Association Stadium, Mohali"
147,Chennai,04-03-2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk"
148,Mumbai,04-03-2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians,AT Rayudu,Brabourne Stadium
149,Kolkata,04-04-2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,DPMD Jayawardene,Eden Gardens
150,Delhi,04-04-2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils,PD Collingwood,Feroz Shah Kotla
151,Nagpur,04-05-2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha"
152,Chennai,04-06-2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk"
153,Jaipur,04-07-2010,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,MJ Lumb,Sawai Mansingh Stadium
154,Kolkata,04-07-2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Eden Gardens
155,Bangalore,04-08-2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,TL Suman,M Chinnaswamy Stadium
156,Chandigarh,04-09-2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali"
157,Nagpur,04-10-2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Deccan Chargers,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha"
158,Bangalore,04-10-2010,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,R Vinay Kumar,M Chinnaswamy Stadium
159,Delhi,04-11-2010,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,PP Chawla,Feroz Shah Kotla
160,Jaipur,04-11-2010,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,SR Tendulkar,Sawai Mansingh Stadium
161,Nagpur,04-12-2010,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha"
162,Mumbai,4/13/2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Brabourne Stadium
163,Chennai,4/13/2010,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,R Ashwin,"MA Chidambaram Stadium, Chepauk"
164,Jaipur,4/14/2010,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,KP Pietersen,Sawai Mansingh Stadium
165,Chennai,4/15/2010,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,G Gambhir,"MA Chidambaram Stadium, Chepauk"
166,Dharamsala,4/16/2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,RG Sharma,Himachal Pradesh Cricket Association Stadium
167,Bangalore,4/17/2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,R McLaren,M Chinnaswamy Stadium
168,Kolkata,4/17/2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,JD Unadkat,Eden Gardens
169,Dharamsala,4/18/2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Himachal Pradesh Cricket Association Stadium
170,Delhi,4/18/2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,A Symonds,Feroz Shah Kotla
171,Kolkata,4/19/2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,M Kartik,Eden Gardens
172,Mumbai,4/21/2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Dr DY Patil Sports Academy
173,Mumbai,4/22/2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,DE Bollinger,Dr DY Patil Sports Academy
174,Mumbai,4/24/2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,A Kumble,Dr DY Patil Sports Academy
175,Mumbai,4/25/2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,Dr DY Patil Sports Academy
176,Chennai,04-08-2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,S Anirudha,"MA Chidambaram Stadium, Chepauk"
177,Hyderabad,04-09-2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal"
178,Kochi,04-09-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,AB de Villiers,Nehru Stadium
179,Delhi,04-10-2011,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,SL Malinga,Feroz Shah Kotla
180,Mumbai,04-10-2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,SB Wagh,Dr DY Patil Sports Academy
181,Kolkata,04-11-2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,JH Kallis,Eden Gardens
182,Jaipur,04-12-2011,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,SK Warne,Sawai Mansingh Stadium
183,Bangalore,04-12-2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SR Tendulkar,M Chinnaswamy Stadium
184,Chandigarh,4/13/2011,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,PC Valthaty,"Punjab Cricket Association Stadium, Mohali"
185,Mumbai,4/13/2011,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,Pune Warriors,MD Mishra,Dr DY Patil Sports Academy
186,Hyderabad,4/14/2011,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
187,Jaipur,4/15/2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,G Gambhir,Sawai Mansingh Stadium
188,Mumbai,4/15/2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,BB McCullum,Wankhede Stadium
189,Chennai,4/16/2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
190,Hyderabad,4/16/2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal"
191,Mumbai,4/17/2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Yuvraj Singh,Dr DY Patil Sports Academy
192,Kolkata,4/17/2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,L Balaji,Eden Gardens
193,Kochi,4/18/2011,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,BB McCullum,Nehru Stadium
194,Delhi,4/19/2011,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,S Sohal,Feroz Shah Kotla
195,Mumbai,4/20/2011,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,MM Patel,Wankhede Stadium
196,Kolkata,4/20/2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,DPMD Jayawardene,Eden Gardens
197,Chandigarh,4/21/2011,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
198,Mumbai,4/22/2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Harbhajan Singh,Wankhede Stadium
199,Kolkata,4/22/2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,Eden Gardens
200,Delhi,4/23/2011,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils,DA Warner,Feroz Shah Kotla
201,Hyderabad,4/24/2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians,SL Malinga,"Rajiv Gandhi International Stadium, Uppal"
202,Jaipur,4/24/2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SK Warne,Sawai Mansingh Stadium
203,Chennai,4/25/2011,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
204,Delhi,4/26/2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,V Kohli,Feroz Shah Kotla
205,Mumbai,4/27/2011,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Chennai Super Kings,DE Bollinger,Dr DY Patil Sports Academy
206,Kochi,4/27/2011,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Deccan Chargers,I Sharma,Nehru Stadium
207,Delhi,4/28/2011,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,MK Tiwary,Feroz Shah Kotla
208,Jaipur,4/29/2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,J Botha,Sawai Mansingh Stadium
209,Bangalore,4/29/2011,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium
210,Kochi,4/30/2011,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,Delhi Daredevils,V Sehwag,Nehru Stadium
211,Kolkata,4/30/2011,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Iqbal Abdulla,Eden Gardens
212,Jaipur,05-01-2011,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,LRPL Taylor,Sawai Mansingh Stadium
213,Chennai,05-01-2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,JA Morkel,"MA Chidambaram Stadium, Chepauk"
214,Mumbai,05-02-2011,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,KA Pollard,Wankhede Stadium
215,Delhi,05-02-2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,P Parameswaran,Feroz Shah Kotla
